0.50,0.000000
0.49,0.000000
0.48,0.000000
0.47,0.000000
0.46,0.000000
0.45,0.000000
0.44,0.000000
0.43,0.000000
0.42,0.000000
0.41,0.000000
0.40,0.000000
0.39,0.000000
0.38,0.000000
0.37,0.000000
0.36,0.000000
0.35,0.000000
0.34,0.000000
0.33,0.000000
0.32,0.000000
0.31,0.000000
0.30,0.000000
0.29,0.000000
0.28,0.000000
0.27,0.000000
0.26,0.000000
0.25,0.001000
0.24,0.197000
0.23,0.515000
0.22,0.772000
0.21,0.932000
0.20,0.994000
0.19,1.000000
0.18,1.000000
0.17,1.000000
0.16,1.000000
0.15,1.000000
0.14,1.000000
0.13,1.000000
0.12,1.000000
0.11,1.000000
0.10,1.000000
0.09,1.000000
0.08,1.000000
0.07,1.000000
0.06,1.000000
0.05,1.000000
0.04,1.000000
0.03,1.000000
0.02,1.000000
0.01,1.000000
